"name","lat","lng","address","detail_info"
"云兰小卖部",39.817756,116.154884,"云岗西路15号附近","购物;便利店"
"北宫国家森林公园-小卖部",39.865069,116.125759,"北京市丰台区长辛店镇大灰厂东路55号北宫国家森林公园内","购物;便利店"
"北宫国家森林公园-小卖部",39.875225,116.124072,"北京市丰台区长辛店镇大灰厂东路55号北宫国家森林公园内","购物;便利店"
"梁家园小卖部",40.117077,116.123684,"苏家坨镇台头村","购物;便利店"
"红艳小卖部",39.73693,116.15884,"良乡镇东关新村","购物;便利店"
"铁辛老街坊小卖部",39.925181,116.171189,"北京市石景山区北辛安铁壁街15号","购物;便利店"
"八大处公园-小卖部",39.969329,116.185011,"北京市石景山区八大处路3号八大处公园内","购物;便利店"
"宏发百事顺小卖部",39.859391,116.200106,"大灰厂东路南50米","购物;便利店"
"冒险世界-小卖部",39.920495,116.216819,"北京市石景山区石景山路25号北京石景山游乐园西园内","购物;便利店"
"小卖部",39.770371,116.228246,"北京市房山区","购物;便利店"
"亚洲景区-小卖部",39.816019,116.296633,"花乡丰葆路158号世界公园亚洲景区内","购物;便利店"
"世界公园-小卖部",39.818126,116.296579,"花乡丰葆路158号世界公园内","购物;便利店"
"非洲景区-小卖部",39.815209,116.292807,"花乡丰葆路158号世界公园内","购物;便利店"
"欧洲景区-小卖部",39.818304,116.293955,"花乡丰葆路158号世界公园欧洲景区内","购物;便利店"
"非洲景区-小卖部",39.815021,116.295009,"花乡丰葆路158号世界公园非洲景区内","购物;便利店"
"亚洲景区-小卖部",39.817819,116.296141,"花乡丰葆路158号世界公园亚洲景区内","购物;便利店"
"亚洲景区-小卖部",39.817343,116.295764,"北京市丰台区花乡丰葆路158号世界公园亚洲景区内","购物;便利店"
"欧洲景区-小卖部",39.816233,116.294146,"花乡丰葆路158号世界公园欧洲景区内","购物;便利店"
"欧洲景区-小卖部",39.816675,116.292636,"花乡丰葆路158号世界公园欧洲景区内","购物;便利店"
"颐和园-小卖部",39.996946,116.286017,"北京市海淀区新建宫门路19号颐和园内","购物;便利店"
"颐和园-小卖部",40.004855,116.285627,"北京市海淀区新建宫门路19号颐和园内","购物;便利店"
"颐和园-小卖部",40.003725,116.285837,"北京市海淀区新建宫门路19号颐和园内","购物;便利店"
"颐和园-小卖部",40.003282,116.286331,"北京市海淀区新建宫门路19号颐和园内","购物;便利店"
"永存小卖部",40.131634,116.274428,"G6辅路附近","购物;便利店"
"亚洲景区-小卖部",39.81685,116.296939,"花乡丰葆路158号世界公园亚洲景区内","购物;便利店"
"秀清小卖部",39.846709,116.312132,"北京市丰台区","购物;便利店"
"天兰天小卖部",39.875637,116.320503,"北京市丰台区","购物;便利店"
"北京大学-小卖部",39.995965,116.318536,"北京市海淀区","购物;便利店"
"佳鑫小卖部",40.117779,116.306609,"回龙观","购物;便利店"
"鳞光渔具店 小卖部",39.72838,116.344792,"北京市大兴区","购物;便利店"
"如意小卖部",39.720437,116.340149,"车站路附近","购物;便利店"
"小卖部",39.763494,116.337866,"北京市大兴区","购物;便利店"
"京开市场豪侠小卖部",39.843642,116.346572,"京开五金建材批发市场南区M道38-1号","购物;便利店"
"京泉小卖部",39.859541,116.348292,"北京市丰台区菜户营南路","购物;超市"
"北京大观园-小卖部",39.878252,116.364129,"北京市西城区南菜园街12号北京大观园内","购物;便利店"
"小卖部",39.88961,116.349226,"西城区红居斜街","购物;便利店"
"北京大观园-小卖部",39.877199,116.363617,"北京市西城区南菜园街12号北京大观园内","购物;便利店"
"北京大观园-小卖部",39.876021,116.362938,"北京市西城区南菜园街12号北京大观园内","购物;便利店"
"春晖恒旅馆小卖部",39.895187,116.334355,"机械大厦(北门)附近","购物;便利店"
"朝阳庵小卖部",39.940061,116.340957,"三里河路26号附近","购物;便利店"
"大熊猫馆-小卖部",39.945597,116.346812,"北京市西城区西直门外大街137号北京动物园熊猫馆内","购物;便利店"
"北京动物园北区-小卖部",39.949435,116.342222,"北京市海淀区西城区西直门外大街137号北京动物园内","购物;便利店"
"职工小卖部",39.940403,116.352733,"北京市西城区","购物;便利店"
"小卖部",39.933437,116.333601,"北京市海淀区","购物;便利店"
"北京动物园西区-小卖部",39.947485,116.34056,"北京市西城区西直门外大街137号北京动物园内","购物;便利店"
"北京动物园西区-小卖部",39.945605,116.340162,"北京市西城区西直门外大街137号北京动物园内","购物;便利店"
"北京动物园东区-小卖部",39.948184,116.345897,"北京市西城区西直门外大街137号北京动物园内","购物;便利店"
"北京动物园东区-小卖部",39.948618,116.349131,"北京市西城区西直门外大街137号北京动物园内","购物;便利店"
"中国地质大学16楼-421小卖部",39.996337,116.35459,"北京市海淀区学院路29号","购物;便利店"
"知春旅馆-小卖部",39.98188,116.358512,"知春路2号院渝淮居私家菜附近","购物;便利店"
"学友小卖部",39.965322,116.35181,"学院南路39号中央财经大学附近","购物;便利店"
"清华大学-小卖部",40.013549,116.334091,"北京市海淀区清华大学内","购物;便利店"
"语言大学第三食堂小卖部",40.00124,116.348361,"学院路15号语言大学家属区","购物;便利店"
"清华大学-小卖部",40.014475,116.333121,"北京市海淀区清华大学内","购物;便利店"
"欢乐多便民小卖部",40.048714,116.352096,"北京市海淀区","购物;便利店"
"陶然亭公园-小卖部",39.883231,116.387785,"北京市西城区太平街19号陶然亭公园内","购物;便利店"
"陶然亭公园-小卖部",39.878046,116.387291,"北京市西城区太平街19号陶然亭公园内","购物;便利店"
"陶然亭公园-小卖部",39.882235,116.390085,"北京市西城区太平街19号陶然亭公园内","购物;便利店"
"联茂小卖部",39.89827,116.396414,"北京市西城区陕西巷46号","购物;便利店"
"光明小卖部",39.894725,116.401212,"留学路84号","购物;便利店"
"小卖部烟酒",39.929937,116.368852,"北京市西城区宫门口横胡同6号","购物"
"北京丹龙龙小卖部",39.952243,116.39843,"小石桥胡同12号附近","购物;便利店"
"西天梵境-小卖部",39.938348,116.394467,"北京市西城区文津街1号(故宫北)北海公园西天梵境内","购物;便利店"
"北海公园-小卖部",39.929279,116.396417,"北京市西城区文津街1号(故宫北)北海公园内","购物;便利店"
"团城-小卖部",39.928856,116.395387,"北京市西城区文津街1号(故宫北)北海公园团城内","购物;便利店"
"琼华岛-小卖部",39.932185,116.394207,"北京市西城区文津街1号(故宫北)北海公园内","购物;便利店"
"奥林匹克森林公园小卖部",40.033238,116.383607,"北京市朝阳区安立路奥林匹克森林公园北园内","购物;便利店"
"开鑫小卖部",39.891563,116.427449,"红桥市场","购物;便利店"
"天坛公园-小卖部",39.889773,116.425056,"北京市东城区天坛东路甲1号天坛公园内","购物;便利店"
"小卖部",39.870506,116.407017,"北京市东城区","购物;便利店"
"华瑞小卖部",39.902281,116.426548,"手帕胡同52号","购物;便利店"
"东直门医院-小卖部",39.943166,116.433604,"东城区海运仓5号东直门医院内","购物;便利店"
"景山公园-小卖部",39.929796,116.40301,"北京市西城区景山西街44号(故宫后门对面)景山公园内","购物;便利店"
"健捷小卖部",39.960165,116.412084,"安外大街上龙西里23号楼","购物;便利店"
"房地置业大厦小卖部",39.996582,116.430059,"小营路25号房地置业大厦","购物;便利店"
"新欣小卖部",39.981036,116.411366,"北京市朝阳区健安东路","购物;便利店"
"月达小卖部",40.099405,116.425667,"三旺源商贸有限公司附近","购物;便利店"
"特洁干洗店小卖部",40.133855,116.408282,"北京市昌平区东沙路","购物"
"双杨开泰小卖部",39.842845,116.466733,"北京市朝阳区龙爪树六十九号城兴城汽配城C区1号","购物;便利店"
"夕阳红小卖部",39.879132,116.451392,"朝阳区南里17号潘家园","购物"
"小卖部",39.893555,116.465408,"北京市朝阳区","购物;便利店"
"小卖部",39.972837,116.442048,"北京市朝阳区","购物;便利店"
"玉香小卖部",39.75998,116.478258,"北京市大兴区三太路","购物;便利店"
"工业大学-旧图小卖部",39.883194,116.484223,"平乐园100号北京工业大学旧图4楼","购物;便利店"
"快乐迪小卖部",39.875908,116.484649,"北京市朝阳区","购物;便利店"
"吉平小卖部",39.877528,116.479135,"北京市朝阳区松榆东里52号楼北","购物;便利店"
"日用百货小卖部",39.883781,116.474215,"北京市朝阳区武圣西里16号楼北侧一层","购物;便利店"
"北京欢乐谷-小卖部",39.872224,116.504474,"北京市朝阳区东四环小武基北路北京欢乐谷内","购物;便利店"
"延静里小卖部",39.928255,116.488872,"朝阳北路172号附近","购物;便利店"
"红领巾公园小卖部",39.92984,116.500474,"后八里庄5号红领巾公园(南门)附近","购物;便利店"
"望花路小卖部",39.993607,116.477717,"西八间北里6","购物;商铺"
"北京798艺术区-小卖部",39.990216,116.498699,"北京市朝阳区酒仙桥路2号北京798艺术区内","购物;便利店"
"工美楼-小卖部",39.992317,116.498223,"北京市朝阳区酒仙桥路2号北京798艺术区A区工美楼内","购物;便利店"
"01商务楼-小卖部",39.992336,116.496785,"北京市朝阳区酒仙桥路2号北京798艺术区A区01商务楼内","购物;便利店"
"北京798艺术区D区-小卖部",39.990382,116.500091,"北京市朝阳区酒仙桥路2号北京798艺术区D区内","购物;便利店"
"北京798艺术区B区-小卖部",39.992468,116.503701,"北京市朝阳区酒仙桥路2号北京798艺术区B区内","购物;便利店"
"老君堂公园小卖部",39.841054,116.52511,"北京市朝阳区","购物;便利店"
"如意小卖部",39.928037,116.510332,"北京市朝阳区","购物;便利店"
"小卖部",39.925012,116.512065,"北京市朝阳区","购物;便利店"
"村口小卖部",39.940719,116.522246,"北京朝阳区青年路西里3号院10号楼1层F1-12","购物;便利店"
"乐乐小卖部",39.933697,116.523866,"青年路103号","购物;便利店"
"北京翠合意小卖部",40.114233,116.526585,"北京市顺义区Ｙ７０７","购物;便利店"
"金家村东头小卖部",39.904426,116.572117,"北京市朝阳区","购物;便利店"
"华展驾校小卖部",40.124185,116.545439,"后沙峪清岚花园(西区)附近","购物;便利店"
"苹果派便利店小卖部",39.93521,116.593969,"常营民族家园B区81号楼3单元101号(近常营西路)","购物;便利店"
